episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,100.0,49,13,29,7,26.23076923076923
1,200.0,77,18,54,5,26.944444444444443
1,300.0,128,23,98,7,25.82608695652174
1,400.0,163,28,128,7,25.321428571428573
1,500.0,196,35,157,4,26.228571428571428
1,600.0,242,42,197,3,26.714285714285715
1,700.0,296,49,240,7,27.224489795918366
1,800.0,342,54,282,6,27.703703703703702
1,900.0,397,59,333,5,27.864406779661017
1,1000.0,427,63,362,2,27.873015873015873
1,1100.0,488,68,413,7,27.63235294117647
1,1200.0,527,73,450,4,28.123287671232877
1,1300.0,606,82,518,6,28.402439024390244
1,1400.0,652,87,556,9,28.57471264367816
1,1500.0,733,94,627,12,28.606382978723403
1,1600.0,787,101,683,3,28.792079207920793
1,1700.0,864,107,749,8,28.897196261682243
1,1800.0,926,111,808,7,29.063063063063062
1,1900.0,1012,118,880,14,29.177966101694917
1,2000.0,1062,126,927,9,29.365079365079364
1,2100.0,1125,134,984,7,29.51492537313433
1,2200.0,1176,139,1029,8,29.431654676258994
1,2300.0,1250,142,1098,10,29.429577464788732
1,2400.0,1307,150,1141,16,29.52
1,2500.0,1374,159,1210,5,29.72327044025157
1,2600.0,1443,168,1268,7,29.726190476190474
1,2700.0,1502,177,1319,6,29.706214689265536
1,2800.0,1568,186,1374,8,29.86021505376344
1,2900.0,1639,195,1435,9,29.92820512820513
1,3000.0,1693,204,1484,5,30.004901960784313
1,3100.0,1754,210,1536,8,30.233333333333334
1,3200.0,1808,217,1585,6,30.138248847926267
1,3300.0,1870,225,1635,10,30.26222222222222
1,3400.0,1933,233,1695,5,30.253218884120173
1,3500.0,1985,237,1742,6,30.20253164556962
1,3600.0,2047,243,1794,10,30.17283950617284
1,3700.0,2099,250,1847,2,30.296
1,3800.0,2169,255,1905,9,30.333333333333332
1,3900.0,2227,263,1953,11,30.437262357414447
1,4000.0,2279,270,2001,8,30.54074074074074
1,4100.0,2348,275,2068,5,30.436363636363637
1,4200.0,2416,277,2130,9,30.462093862815884
1,4300.0,2486,285,2194,7,30.589473684210525
1,4400.0,2553,287,2254,12,30.60278745644599
1,4500.0,2604,293,2302,9,30.593856655290104
1,4600.0,2676,301,2359,16,30.564784053156146
1,4700.0,2759,311,2441,7,30.54662379421222
1,4800.0,2831,318,2505,8,30.59119496855346
